EXPECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,NUTRITION_INFO_STATUS,NUTRITION_MISMATCH,NUTRITION_SCREENSHOT
Breakfast Specials,Iron Man Challenge,IRON MAN CHALLENGE,MATCH,,./output/nutrition-info/screenshots/nutrition/Iron_Man_Challenge_nutrition.png
BREAKFAST ENTREES,CHORIZO BURRITOS,,NOT_FOUND,,
BREAKFAST ENTREES,Ranchero Scramble,,NOT_FOUND,,
BREAKFAST ENTREES,Spicy Vegan Scramble,,NOT_FOUND,,
Breakfast Trays,Scrambled Eggs Tray,,NOT_FOUND,,
Breakfast Trays,Applewood Bacon Tray,,NOT_FOUND,,
Breakfast Trays,Sausage Links Tray,,NOT_FOUND,,
Breakfast Trays,Hashbrowns Tray,,NOT_FOUND,,
Breakfast Trays,Homefries Tray,,NOT_FOUND,,
Breakfast Trays,Mini Blueberry Muffins Tray,,NOT_FOUND,,
Breakfast Trays,Pancakes Tray,,NOT_FOUND,,
Breakfast Trays,Waffles Tray,,NOT_FOUND,,
Breakfast Trays,French Toast Tray,,NOT_FOUND,,
Breakfast Trays,Parfaits,,NOT_FOUND,,
Breakfast Trays,Fruit Tray,,NOT_FOUND,,
Sandwiches & Wraps,Monte Cristo,,NOT_FOUND,,
Sandwiches & Wraps,Turkey Croissant Sandwich,,NOT_FOUND,,
Sandwiches & Wraps,Breakfast Croissant Sandwich,,NOT_FOUND,,
Catering - Family Style,Scrambled Eggs (1/2 Cup),SCRAMBLED EGGS (1/2 CUP),MATCH,,./output/nutrition-info/screenshots/nutrition/Scrambled_Eggs_1_2_Cup_nutrition.png
Catering - Family Style,Fresh Fruit (1/2 Cup),FRESH FRUIT (1/2 CUP),MATCH,,./output/nutrition-info/screenshots/nutrition/Fresh_Fruit_1_2_Cup_nutrition.png
Catering - Family Style,Bacon (2 Slices),BACON (2 SLICES),MATCH,,./output/nutrition-info/screenshots/nutrition/Bacon_2_Slices_nutrition.png
Catering - Family Style,Pancake Syrup (1),PANCAKE SYRUP (1),MATCH,,./output/nutrition-info/screenshots/nutrition/Pancake_Syrup_1_nutrition.png
Catering - Family Style,French Toast (1 Slice),FRENCH TOAST (1 SLICE),MATCH,,./output/nutrition-info/screenshots/nutrition/French_Toast_1_Slice_nutrition.png
Catering - Family Style,Buttermilk Pancakes (1 each),BUTTERMILK PANCAKES (1 EACH),MATCH,,./output/nutrition-info/screenshots/nutrition/Buttermilk_Pancakes_1_each_nutrition.png
Catering - Family Style,Butter Chip (1 each),BUTTER CHIP (1 EACH),MATCH,,./output/nutrition-info/screenshots/nutrition/Butter_Chip_1_each_nutrition.png
Catering - Family Style,Belgian Waffle (1/2 each),BELGIAN WAFFLE (1/2 EACH),MATCH,,./output/nutrition-info/screenshots/nutrition/Belgian_Waffle_1_2_each_nutrition.png
Catering - Platters,Veggie Sandwich (Wheat) (1/2),VEGGIE SANDWICH (WHEAT) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Veggie_Sandwich_Wheat_1_2_nutrition.png
Catering - Platters,Veggie Sandwich (Sourdough) (1/2),VEGGIE SANDWICH (SOURDOUGH) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Veggie_Sandwich_Sourdough_1_2_nutrition.png
Catering - Platters,Veggie Sandwich (White) (1/2),VEGGIE SANDWICH (WHITE) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Veggie_Sandwich_White_1_2_nutrition.png
Catering - Platters,Club Sandwich (Wheat) (1/2),CLUB SANDWICH (WHEAT) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Club_Sandwich_Wheat_1_2_nutrition.png
Catering - Platters,Club Sandwich (Sourdough) (1/2),CLUB SANDWICH (SOURDOUGH) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Club_Sandwich_Sourdough_1_2_nutrition.png
Catering - Platters,Club Sandwich (White) (1/2),CLUB SANDWICH (WHITE) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Club_Sandwich_White_1_2_nutrition.png
Catering - Platters,Turkey (Rye) (1/2),TURKEY (RYE) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Rye_1_2_nutrition.png
Catering - Platters,Turkey (Sourdough) (1/2),TURKEY (SOURDOUGH) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Sourdough_1_2_nutrition.png
Catering - Platters,Turkey (White) (1/2),TURKEY (WHITE) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_White_1_2_nutrition.png
Catering - Platters,Turkey (Wheat) (1/2),TURKEY (WHEAT) (1/2 SANDWICH),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Wheat_1_2_nutrition.png
Catering - Platters,Turkey Wrap (1/2),TURKEY WRAP (1/2 WRAP),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Turkey_Wrap_1_2_nutrition.png
Catering - Platters,Veggie Wrap (1/2),VEGGIE WRAP (1/2 WRAP),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Veggie_Wrap_1_2_nutrition.png
Catering - Platters,VEGETARIAN BREAKFAST BURRITOS (1/2),BREAKFAST BURRITO (VEGETARIAN) (1/2 BURRITO),VARIANT_MISMATCH,Calories: INPUT=554 | UAT=550 || Calories from Fat: INPUT=261.5 | UAT=260 || Trans Fat (g): INPUT=0.06 | UAT=9 || Cholest. (mg): INPUT=219 | UAT=220 || Sodium (mg): INPUT=628 | UAT=630 || Dietary Fiber (g): INPUT=6.3 | UAT=6 || Sugar (g): INPUT=0.7 | UAT=1 || Protein (g): INPUT=21.42 | UAT=21,./output/nutrition-info/screenshots/nutrition/VEGETARIAN_BREAKFAST_BURRITOS_1_2_nutrition.png
Catering - Platters,Breakfast Burrito (1/2),BREAKFAST BURRITO (VEGETARIAN) (1/2 BURRITO),VARIANT_MISMATCH,Calories: INPUT=600 | UAT=550 || Calories from Fat: INPUT=290 | UAT=260 || Total Fat (g): INPUT=32 | UAT=29 || Sat Fat (g): INPUT=13 | UAT=12 || Trans Fat (g): INPUT=0 | UAT=9 || Cholest. (mg): INPUT=225 | UAT=220 || Sodium (mg): INPUT=770 | UAT=630 || Protein (g): INPUT=24 | UAT=21,./output/nutrition-info/screenshots/nutrition/Breakfast_Burrito_1_2_nutrition.png
Catering - Platters,Blueberry Muffins (1 Mini),BLUEBERRY MUFFINS (1 MINI MUFFIN),VARIANT_MATCH,,./output/nutrition-info/screenshots/nutrition/Blueberry_Muffins_1_Mini_nutrition.png
Catering - Platters,Berry Parfait Cup,BERRY PARFAIT CUP,MATCH,,./output/nutrition-info/screenshots/nutrition/Berry_Parfait_Cup_nutrition.png
Catering - Platters,Fresh Fruit Bowl (1/2 Cup),FRESH FRUIT BOWL (1/2 CUP OF FRUIT),VARIANT_MISMATCH,Protein (g): INPUT=1 | UAT=0,./output/nutrition-info/screenshots/nutrition/Fresh_Fruit_Bowl_1_2_Cup_nutrition.png
Catering - Platters,Very Berry (Small),VERY BERRY (SMALL),MATCH,,./output/nutrition-info/screenshots/nutrition/Very_Berry_Small_nutrition.png
Catering - Platters,Very Berry (Large),VERY BERRY (LARGE),MATCH,,./output/nutrition-info/screenshots/nutrition/Very_Berry_Large_nutrition.png
Catering - Platters,Greek Salad (Small),GREEK SALAD (SMALL),MATCH,,./output/nutrition-info/screenshots/nutrition/Greek_Salad_Small_nutrition.png
Catering - Platters,Greek Salad (Large),GREEK SALAD (LARGE),MATCH,,./output/nutrition-info/screenshots/nutrition/Greek_Salad_Large_nutrition.png
Catering - Platters,Chicken Caesar (Small),CHICKEN CAESAR (SMALL),MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_Caesar_Small_nutrition.png
Catering - Platters,Chicken Caesar (Large),CHICKEN CAESAR (LARGE),MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_Caesar_Large_nutrition.png
Catering - Platters,Add Chicken (Small),,NOT_FOUND,,
Catering - Platters,Add Chicken (Large),ADD CHICKEN (LARGE),MISMATCH,Calories: INPUT=1960 | UAT=1120 || Calories from Fat: INPUT=380 | UAT=220 || Total Fat (g): INPUT=43 | UAT=24 || Sat Fat (g): INPUT=12 | UAT=7 || Sodium (mg): INPUT=880 | UAT=500 || Protein (g): INPUT=369 | UAT=211,./output/nutrition-info/screenshots/nutrition/Add_Chicken_Large_nutrition.png
Catering - Beverages,Coffee (1 Cup),COFFEE (1 CUP),MATCH,,./output/nutrition-info/screenshots/nutrition/Coffee_1_Cup_nutrition.png
Catering - Beverages,Cocoa Cola (12 fl oz),COCOA COLA® (12 FL OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Cocoa_Cola_12_fl_oz_nutrition.png
Catering - Beverages,Diet Cocoa Cola (12 fl oz),COCOA COLA® (12 FL OZ),VARIANT_MISMATCH,Calories: INPUT=0 | UAT=140 || Sodium (mg): INPUT=40 | UAT=50 || Carbs (g): INPUT=0 | UAT=39 || Sugar (g): INPUT=0 | UAT=39,./output/nutrition-info/screenshots/nutrition/Diet_Cocoa_Cola_12_fl_oz_nutrition.png
Catering - Beverages,Hot Cocoa (8 fl oz),HOT COCOA (8 FL OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Hot_Cocoa_8_fl_oz_nutrition.png
Catering - Beverages,Orange Juice (8 fl oz),ORANGE JUICE (8 FL OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Orange_Juice_8_fl_oz_nutrition.png
Catering - Beverages,Sprite (12 fl oz),SPRITE® (12 FL OZ),MATCH,,./output/nutrition-info/screenshots/nutrition/Sprite_12_fl_oz_nutrition.png
Healthy Side Up,Spicy Vegan Bowl,,NOT_FOUND,,
Healthy Side Up,Wellness Wrap (no sides),WELLNESS WRAP (NO SIDES),MATCH,,./output/nutrition-info/screenshots/nutrition/Wellness_Wrap_no_sides_nutrition.png
Healthy Side Up,Avocado Toast,AVOCADO TOAST,MATCH,,./output/nutrition-info/screenshots/nutrition/Avocado_Toast_nutrition.png
Healthy Side Up,Feta Avocado Toast,AVOCADO TOAST,VARIANT_MISMATCH,Calories: INPUT=660 | UAT=500 || Calories from Fat: INPUT=350 | UAT=300 || Total Fat (g): INPUT=389 | UAT=33 || Sat Fat (g): INPUT=9 | UAT=3 || Cholest. (mg): INPUT=20 | UAT=0 || Sodium (mg): INPUT=750 | UAT=420 || Carbs (g): INPUT=68 | UAT=50 || Dietary Fiber (g): INPUT=18 | UAT=17 || Sugar (g): INPUT=22 | UAT=5 || Protein (g): INPUT=16 | UAT=10,./output/nutrition-info/screenshots/nutrition/Feta_Avocado_Toast_nutrition.png
Healthy Side Up,Add Two Poached Eggs,ADD TWO POACHED EGGS,MATCH,,./output/nutrition-info/screenshots/nutrition/Add_Two_Poached_Eggs_nutrition.png
Healthy Side Up,Steel Cut Oats,STEEL CUT OATS,MATCH,,./output/nutrition-info/screenshots/nutrition/Steel_Cut_Oats_nutrition.png
Healthy Side Up,Acai Bowl,ACAI BOWL,MATCH,,./output/nutrition-info/screenshots/nutrition/Acai_Bowl_nutrition.png
Healthy Side Up,Smoke Salmon Avocado Toast,AVOCADO TOAST,VARIANT_MISMATCH,Calories: INPUT=620 | UAT=500 || Calories from Fat: INPUT=260 | UAT=300 || Total Fat (g): INPUT=29 | UAT=33 || Sat Fat (g): INPUT=6 | UAT=3 || Cholest. (mg): INPUT=60 | UAT=0 || Sodium (mg): INPUT=1960 | UAT=420 || Dietary Fiber (g): INPUT=10 | UAT=17 || Sugar (g): INPUT=4 | UAT=5 || Protein (g): INPUT=34 | UAT=10,./output/nutrition-info/screenshots/nutrition/Smoke_Salmon_Avocado_Toast_nutrition.png
Healthy Side Up,Berry Yogurt Parfait,BERRY YOGURT PARFAIT,MATCH,,./output/nutrition-info/screenshots/nutrition/Berry_Yogurt_Parfait_nutrition.png
South of the Border,Huevos Rancheros (no tortillas),HUEVOS RANCHEROS (NO TORTILLAS),MATCH,,./output/nutrition-info/screenshots/nutrition/Huevos_Rancheros_no_tortillas_nutrition.png
South of the Border,Huevos Con Chorizo (no tortillas),HUEVOS CON CHORIZO (NO TORTILLAS),MATCH,,./output/nutrition-info/screenshots/nutrition/Huevos_Con_Chorizo_no_tortillas_nutrition.png
South of the Border,Machaca (no tortillas),MACHACA (NO TORTILLAS),MATCH,,./output/nutrition-info/screenshots/nutrition/Machaca_no_tortillas_nutrition.png
South of the Border,Chilaquiles Bowl Red Sauce & Shredded Chicken,CHILAQUILES BOWL RED SAUCE & SHREDDED CHICKEN,MISMATCH,Cholest. (mg): INPUT=58 | UAT=580,./output/nutrition-info/screenshots/nutrition/Chilaquiles_Bowl_Red_Sauce_and_Shredded_Chicken_nutrition.png
South of the Border,Chilaquiles Bowl Red Sauce & Carne Asada,CHILAQUILES BOWL RED SAUCE & CARNE ASADA,MATCH,,./output/nutrition-info/screenshots/nutrition/Chilaquiles_Bowl_Red_Sauce_and_Carne_Asada_nutrition.png
South of the Border,Chilaquiles Bowl Green Sauce & Shredded Chicken,CHILAQUILES BOWL GREEN SAUCE & SHREDDED CHICKEN,MATCH,,./output/nutrition-info/screenshots/nutrition/Chilaquiles_Bowl_Green_Sauce_and_Shredded_Chicken_nutrition.png
South of the Border,Chilaquiles Bowl Green Sauce & Carne Asada,CHILAQUILES BOWL GREEN SAUCE & CARNE ASADA,MATCH,,./output/nutrition-info/screenshots/nutrition/Chilaquiles_Bowl_Green_Sauce_and_Carne_Asada_nutrition.png
South of the Border,California Breakfast Burrito,CALIFORNIA BREAKFAST BURRITO,MATCH,,./output/nutrition-info/screenshots/nutrition/California_Breakfast_Burrito_nutrition.png
South of the Border,Fiesta Burrito,FIESTA BURRITO,MATCH,,./output/nutrition-info/screenshots/nutrition/Fiesta_Burrito_nutrition.png
South of the Border,Baja Breakfast Tacos,BAJA BREAKFAST TACOS,MATCH,,./output/nutrition-info/screenshots/nutrition/Baja_Breakfast_Tacos_nutrition.png
Two Eggs,Two Eggs Plus - Scrambled or Fried,TWO EGGS PLUS - SCRAMBLED OR FRIED,MATCH,,./output/nutrition-info/screenshots/nutrition/Two_Eggs_Plus_Scrambled_or_Fried_nutrition.png
Two Eggs,Two Eggs Plus - Boiled or Poached,TWO EGGS PLUS - BOILED OR POACHED,MATCH,,./output/nutrition-info/screenshots/nutrition/Two_Eggs_Plus_Boiled_or_Poached_nutrition.png
Two Eggs,Two Eggs Plus...,TWO EGGS PLUS - SCRAMBLED OR FRIED,VARIANT_MISMATCH,Calories: INPUT=143 | UAT=170 || Calories from Fat: INPUT=86 | UAT=110 || Total Fat (g): INPUT=10 | UAT=12 || Sat Fat (g): INPUT=4 | UAT=5 || Trans Fat (g): INPUT=0.04 | UAT=0 || Cholest. (mg): INPUT=372 | UAT=370 || Sodium (mg): INPUT=142 | UAT=140 || Carbs (g): INPUT=0.7 | UAT=1 || Sugar (g): INPUT=0.4 | UAT=0,./output/nutrition-info/screenshots/nutrition/Two_Eggs_Plus_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Bacon,AMERICAN BREAKFAST - SCRAMBLED/FRIED + BACON,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Bacon_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Bacon,AMERICAN BREAKFAST - BOILED/POACHED + BACON,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Bacon_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Applewood Bacon,AMERICAN BREAKFAST - SCRAMBLED/FRIED + BACON,VARIANT_MISMATCH,Calories from Fat: INPUT=190 | UAT=180 || Total Fat (g): INPUT=21 | UAT=20,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Applewood_Bacon_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Applewood Bacon,AMERICAN BREAKFAST - BOILED/POACHED + BACON,VARIANT_MISMATCH,Calories from Fat: INPUT=170 | UAT=160 || Total Fat (g): INPUT=19 | UAT=18,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Applewood_Bacon_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Sausage Link,AMERICAN BREAKFAST - SCRAMBLED/FRIED + SAUSAGE LINK,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Sausage_Link_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Sausage Link,AMERICAN BREAKFAST - BOILED/POACHED + SAUSAGE LINK,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Sausage_Link_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Sausage Patty,AMERICAN BREAKFAST - SCRAMBLED/FRIED + SAUSAGE PATTY,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Sausage_Patty_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Sausage Patty,AMERICAN BREAKFAST - BOILED/POACHED + SAUSAGE PATTY,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Sausage_Patty_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Smoked Ham,AMERICAN BREAKFAST - SCRAMBLED/FRIED + SMOKED HAM,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Smoked_Ham_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Smoked Ham,AMERICAN BREAKFAST - BOILED/POACHED + SMOKED HAM,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Smoked_Ham_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Canadian Bacon,AMERICAN BREAKFAST - SCRAMBLED/FRIED + BACON,VARIANT_MISMATCH,Calories: INPUT=280 | UAT=260 || Calories from Fat: INPUT=160 | UAT=180 || Total Fat (g): INPUT=18 | UAT=20 || Cholest. (mg): INPUT=415 | UAT=385 || Sodium (mg): INPUT=1040 | UAT=340 || Protein (g): INPUT=28 | UAT=16,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Canadian_Bacon_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Canadian Bacon,AMERICAN BREAKFAST - BOILED/POACHED + BACON,VARIANT_MISMATCH,Calories: INPUT=250 | UAT=230 || Calories from Fat: INPUT=140 | UAT=160 || Total Fat (g): INPUT=16 | UAT=18 || Cholest. (mg): INPUT=415 | UAT=385 || Sodium (mg): INPUT=1040 | UAT=340 || Protein (g): INPUT=28 | UAT=16,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Canadian_Bacon_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Beef Patty,AMERICAN BREAKFAST - SCRAMBLED/FRIED + BEEF PATTY,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Beef_Patty_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Beef Patty,AMERICAN BREAKFAST - BOILED/POACHED + BEEF PATTY,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Beef_Patty_nutrition.png
Two Eggs,American Breakfast - Scrambled/Fried + Corned Beef,AMERICAN BREAKFAST - SCRAMBLED/FRIED + CORNED BEEF,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Scrambled_Fried_Corned_Beef_nutrition.png
Two Eggs,American Breakfast - Boiled/Poached + Corned Beef,AMERICAN BREAKFAST - BOILED/POACHED + CORNED BEEF,MATCH,,./output/nutrition-info/screenshots/nutrition/American_Breakfast_Boiled_Poached_Corned_Beef_nutrition.png
Two Eggs,Ham Scramble,HAM SCRAMBLE,MATCH,,./output/nutrition-info/screenshots/nutrition/Ham_Scramble_nutrition.png
Two Eggs,Chicken Fried Steak & Eggs - Scrambled/Fried,CHICKEN FRIED STEAK & EGGS - SCRAMBLED/FRIED,MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_Fried_Steak_and_Eggs_Scrambled_Fried_nutrition.png
Two Eggs,Chicken Fried Steak & Eggs - Boiled/Poached,CHICKEN FRIED STEAK & EGGS - BOILED/POACHED,MATCH,,./output/nutrition-info/screenshots/nutrition/Chicken_Fried_Steak_and_Eggs_Boiled_Poached_nutrition.png
Two Eggs,New York Steak & Eggs - Scrambled/Fried,NEW YORK STEAK & EGGS - SCRAMBLED/FRIED,MATCH,,./output/nutrition-info/screenshots/nutrition/New_York_Steak_and_Eggs_Scrambled_Fried_nutrition.png
Two Eggs,New York Steak & Eggs - Boiled/Poached,NEW YORK STEAK & EGGS - BOILED/POACHED,MATCH,,./output/nutrition-info/screenshots/nutrition/New_York_Steak_and_Eggs_Boiled_Poached_nutrition.png
Breakfast Craves,Betty's Southern Biscuits & Gravy,BETTY'S SOUTHERN BISCUITS & GRAVY,MATCH,,./output/nutrition-info/screenshots/nutrition/Bettys_Southern_Biscuits_and_Gravy_nutrition.png
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Bacon),BETTY'S SOUTHERN BISCUITS & GRAVY,VARIANT_MISMATCH,Calories: INPUT=680 | UAT=620 || Calories from Fat: INPUT=270 | UAT=230 || Total Fat (g): INPUT=30 | UAT=25 || Sat Fat (g): INPUT=14 | UAT=12 || Cholest. (mg): INPUT=30 | UAT=20 || Sodium (mg): INPUT=2110 | UAT=1980 || Carbs (g): INPUT=85 | UAT=86 || Protein (g): INPUT=18 | UAT=16,./output/nutrition-info/screenshots/nutrition/Bettys_Southern_Biscuits_and_Gravy_w_Bacon_nutrition.png
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Sausage Links),BETTY'S SOUTHERN BISCUITS & GRAVY,VARIANT_MISMATCH,Calories: INPUT=980 | UAT=620 || Calories from Fat: INPUT=530 | UAT=230 || Total Fat (g): INPUT=59 | UAT=25 || Sat Fat (g): INPUT=24 | UAT=12 || Cholest. (mg): INPUT=80 | UAT=20 || Sodium (mg): INPUT=2760 | UAT=1980 || Carbs (g): INPUT=85 | UAT=86 || Protein (g): INPUT=28 | UAT=16,./output/nutrition-info/screenshots/nutrition/Bettys_Southern_Biscuits_and_Gravy_w_Sausage_Links_nutrition.png
Breakfast Craves,Betty's Southern Biscuits & Gravy (w/ Sausage Patties),BETTY'S SOUTHERN BISCUITS & GRAVY,VARIANT_MISMATCH,Calories: INPUT=1080 | UAT=620 || Calories from Fat: INPUT=620 | UAT=230 || Total Fat (g): INPUT=69 | UAT=25 || Sat Fat (g): INPUT=28 | UAT=12 || Cholest. (mg): INPUT=110 | UAT=20 || Sodium (mg): INPUT=2740 | UAT=1980 || Carbs (g): INPUT=85 | UAT=86 || Protein (g): INPUT=34 | UAT=16,./output/nutrition-info/screenshots/nutrition/Bettys_Southern_Biscuits_and_Gravy_w_Sausage_Patties_nutrition.png
